V,I,G,P,fault_type
137.90496,9.81858,843.18138,1354.0308821568,1
139.69193,9.82019,843.38853,1371.8012940667,1
140.3074,9.77016,843.32147,1370.825747184,1
140.97514,9.74451,843.3764,1373.7336614814,1
137.01942,9.8018,843.40024,1343.036950956,1
139.42606,9.8432,843.50776,1372.398593792,1
141.44924,9.77283,843.27654,1382.3593761492,1
140.48525,9.83869,843.36405,1382.1908243225,1
140.01647,9.80853,843.21289,1373.3557464891,1
140.10686,9.808,843.21118,1374.16808288,1
139.61875,9.85102,843.26569,1375.387098625,1
137.60391,9.82885,843.23503,1352.4881908035,1
140.48485,9.78217,843.29336,1374.2466851245,1
141.71664,9.76081,843.36575,1383.2691968784,1
140.14918,9.79182,843.30465,1372.3155437076,1
137.32923,9.81798,842.89694,1348.2956335554,1
140.38914,9.79097,843.52032,1374.5458580658,1
138.95727,9.81222,843.7179,1363.4793038394,1
138.79622,9.83133,843.4903,1364.5514415726,1
139.52936,9.80905,843.65296,1368.650468708,1
139.48325,9.76257,843.55183,1361.7149919525,1
141.89581,9.77072,843.91845,1386.4242286832,1
138.23385,9.82345,843.60995,1357.9333137825,1
141.5978,9.78667,843.71917,1385.770941326,1
139.95609,9.773,843.75686,1367.79086757,1
141.80724,9.78918,843.47199,1388.1765976632,1
141.00794,9.73944,843.20032,1373.3383711536,1
140.15201,9.71207,843.16158,1361.1661317607,1
141.24416,9.68263,843.07237,1367.6149409408,1
141.10892,9.67981,843.19862,1365.9075349052,1
141.19344,9.74382,843.1603,1375.7634645408,1
140.92762,9.7189,843.0845,1369.661446018,1
139.96029,9.66817,843.01978,1353.1598769693,1
142.07012,9.69727,843.09707,1377.6923125724,1
139.89626,9.67548,842.91205,1353.5634657048,1
139.16342,9.68463,843.00658,1347.7462322346,1
140.54832,9.6818,843.24227,1360.760724576,1
141.54997,9.72532,843.34659,1376.6187542404,1
139.72316,9.72419,843.23503,1358.6945552404,1
139.69062,9.66568,843.32658,1350.2048319216,1
144.59641,9.67347,843.33403,1398.7490342427,1
139.97876,9.70057,843.54438,1357.8737598932,1
140.8269,9.71106,843.2214,1367.578475514,1
140.36403,9.67124,843.15519,1357.4942214972,1
142.71849,9.66302,843.22715,1379.0916232398,1
143.55761,9.71038,843.21161,1393.9989449918,1
138.41105,9.81581,843.52905,1358.6165687005,1
143.18479,9.78535,843.66552,1401.1132848265,1
138.54391,9.76405,843.51542,1352.7496644355,1
140.4647,9.80045,843.2378,1376.617269115,1
142.01916,9.81338,843.54629,1393.6879843608,1
140.2578,9.79057,843.40365,1373.203808946,1
142.09265,9.8073,843.54502,1393.545246345,1
139.7387,9.76287,843.7047,1364.250762069,1
