V,I,G,P,no_module_fault,fault,partial_shading
136.73928,10.01764,853.28306,1369.8048808992,0,0,0
139.87865,10.05498,853.37397,1406.477028177,0,0,0
137.6978,10.05592,853.26751,1384.678060976,0,0,0
139.15917,10.01886,853.39292,1394.2162419462,0,0,0
139.44145,10.01543,853.56388,1396.5660815735,0,0,0
137.06047,10.058,853.13317,1378.55420726,0,0,0
140.18253,10.03936,853.1617,1407.3428843808,0,0,0
134.76276,10.03036,853.33862,1351.7189973936,0,0,0
136.33841,10.02776,853.22557,1367.1688542616,0,0,0
138.44587,10.03957,853.29668,1389.9370030759,0,0,0
139.36041,10.05462,853.2771,1401.2159655942,0,0,0
135.01932,10.03013,852.9126,1354.2613321116,0,0,0
134.67595,10.01772,852.70736,1349.145957834,0,0,0
138.82553,10.05318,852.79146,1395.6380416854,0,0,0
138.42957,10.04487,852.55514,1390.5070348059,0,0,0
137.5579,10.06761,852.67287,1384.879289619,0,0,0
138.52341,10.02183,852.84277,1388.2580660403,0,0,0
137.80262,10.04611,852.80998,1384.3802788082,0,0,0
135.98047,10.07309,852.94539,1369.7435125523,0,0,0
138.38392,10.04186,852.78358,1389.6319508912,0,0,0
138.65961,9.99614,852.83936,1386.0608739054,0,0,0
136.35522,10.02369,853.39121,1366.7824551618,0,0,0
139.07191,10.00923,853.29945,1392.0027337293,0,0,0
138.03706,10.03831,853.12529,1385.6587997686,0,0,0
137.92435,10.06784,853.08186,1388.600287904,0,0,0
138.05868,10.04585,853.20066,1386.916790478,0,0,0
137.80955,10.01523,853.14169,1380.1943394465,0,0,0
135.97101,10.01315,853.23622,1361.4981187815,0,0,0
136.31204,10.05826,853.32904,1371.0619394504,0,0,0
138.50828,9.99717,853.03971,1384.6908215676,0,0,0
137.87773,9.99566,853.25006,1378.1789106518,0,0,0
138.13829,9.98528,853.40739,1379.3495043712,0,0,0
139.56899,9.95045,853.34672,1388.7742565455,0,0,0
139.29477,9.9311,853.36502,1383.350290347,0,0,0
140.73837,9.9711,853.24239,1403.316361107,0,0,0
138.28973,9.97783,853.49639,1379.8314166859,0,0,0
138.66599,9.90202,853.06951,1373.0734062998,0,0,0
139.24274,9.87916,853.38908,1375.6013072984,0,0,0
138.16532,9.97486,853.00735,1378.1797238552,0,0,0
138.00563,9.95735,853.74783,1374.1703598805,0,0,0
140.29176,9.89405,853.63265,1388.053688028,0,0,0
139.08816,9.92487,853.4619,1380.4319065392,0,0,0
140.3485,9.94649,853.54088,1395.974951765,0,0,0
140.55237,9.94079,853.69652,1397.2015941723,0,0,0
142.86906,9.93348,853.43443,1419.1869501288,0,0,0
138.87442,9.95479,853.45232,1382.4656874718,0,0,0
137.35236,9.93747,853.35012,1364.9349569292,0,0,0
138.65506,9.91674,853.39909,1375.0061797044,0,0,0
137.9866,9.94052,853.56686,1371.658557032,0,0,0
139.85805,9.9565,853.35076,1392.496674825,0,0,0
137.00161,9.9678,853.34416,1365.604648158,0,0,0
139.37261,9.9257,853.72973,1383.370715077,0,0,0
138.34409,9.98297,853.70503,1381.0849001473,0,0,0
138.28011,9.96582,853.88089,1378.0746858402,0,0,0
140.27116,9.90684,853.53003,1389.6439387344,0,0,0
141.11448,9.91664,853.98884,1399.3814969472,0,0,0
138.27161,9.97038,853.65266,1378.6204949118,0,0,0
140.45463,9.94908,853.81596,1397.3943502404,0,0,0
139.17031,9.91441,853.42804,1379.7915131671,0,0,0
142.25912,9.92727,853.52087,1412.2446942024,0,0,0
140.53734,9.90596,853.75464,1392.1572685464,0,0,0
141.28915,9.94128,852.55088,1404.595001112,0,0,0
138.85002,9.96093,852.4638,1383.0753297186,0,0,0
139.50243,9.90261,852.43165,1381.4381583423,0,0,0
139.70221,9.90798,852.67309,1384.1667026358,0,0,0
139.04666,9.96114,852.67159,1385.0632467924,0,0,0
137.12181,9.96582,852.67649,1366.5312765342,0,0,0
140.63041,9.94321,852.62178,1398.3176990161,0,0,0
140.18952,9.93037,852.51298,1392.1338037224,0,0,0
139.42758,9.93336,852.45677,1384.9843460688,0,0,0
142.55743,9.92806,852.58558,1415.3187184858,0,0,0
139.99921,9.97306,852.85129,1396.2205212826,0,0,0
137.77382,9.94015,852.79742,1369.492436873,0,0,0
138.74728,9.91979,852.86534,1376.3438806712,0,0,0
137.52095,9.95436,852.75803,1368.933043842,0,0,0
136.59158,9.95373,853.11678,1359.5957075934,0,0,0
140.71448,9.92652,852.80849,1396.8051000096,0,0,0
140.44562,9.93122,853.12615,1394.7963502564,0,0,0
138.1675,9.94054,852.58005,1373.45956045,0,0,0
138.10888,9.94812,852.53363,1373.9237113056,0,0,0
138.54816,9.91311,852.72589,1373.4431503776,0,0,0
