V,I,G,P,no_module_fault,fault,partial_shading
135.27446,9.88964,832.5123,1337.8157105944,0,0,0
137.5332,9.91678,832.06308,1363.886487096,0,0,0
136.14041,9.90694,832.43161,1348.7348734454,0,0,0
138.03458,9.90172,832.35518,1366.7797614776,0,0,0
135.29304,9.91146,832.29003,1340.9515542384,0,0,0
135.48512,9.92062,832.34006,1344.0963911744,0,0,0
139.17188,9.90825,832.29301,1378.94978001,0,0,0
138.48348,9.99521,832.48612,1384.1714641308,0,0,0
133.06648,10.006,832.47867,1331.46319888,0,0,0
134.84541,9.98905,832.52146,1346.9775427605,0,0,0
137.33125,9.99279,832.62429,1372.3223416875,0,0,0
135.86462,10.00882,832.60023,1359.8445259484,0,0,0
135.1541,9.99939,832.62067,1351.458555999,0,0,0
136.14892,9.97731,832.61833,1358.3999810052,0,0,0
135.18067,9.98633,832.5898,1349.9587802411,0,0,0
135.25462,9.99807,832.51827,1352.2851585834,0,0,0
135.53259,9.9836,832.67709,1353.103165524,0,0,0
138.4814,9.9301,833.1359,1375.13415014,0,0,0
134.27868,9.90154,832.85742,1329.5657211672,0,0,0
135.80768,9.87799,832.90171,1341.5069049632,0,0,0
135.46968,9.89975,832.86679,1341.11596458,0,0,0
133.60805,9.92373,832.80909,1325.8902140265,0,0,0
136.27479,9.92622,832.63771,1352.6935459938,0,0,0
136.39323,9.89339,832.73394,1349.3914177497,0,0,0
137.52865,9.88354,832.90256,1359.269913421,0,0,0
136.13181,9.92436,832.88084,1351.0210898916,0,0,0
138.49117,9.93548,832.98495,1375.9762497116,0,0,0
134.8279,9.90274,833.53297,1335.165638446,0,0,0
135.6902,9.91259,833.26599,1345.041319618,0,0,0
138.43271,9.91172,833.53723,1372.1062603612,0,0,0
136.73634,9.91571,833.36115,1355.8378939014,0,0,0
137.40556,9.9423,833.49443,1366.127299188,0,0,0
135.76997,9.90766,833.54127,1345.1627009702,0,0,0
135.25012,9.91503,833.65028,1341.0089973036,0,0,0
135.70706,9.93766,833.39075,1348.6106218796,0,0,0
136.86748,9.94121,833.46931,1360.6283608508,0,0,0
135.37574,9.93548,833.5351,1345.0229572552,0,0,0
137.38835,9.84609,832.93747,1352.7380590515,0,0,0
137.37979,9.86045,832.97431,1354.6265503055,0,0,0
138.49876,9.8415,832.97729,1363.03554654,0,0,0
138.13131,9.83585,833.05947,1358.6388454635,0,0,0
137.35292,9.85585,832.97026,1353.729776582,0,0,0
133.90485,9.85018,832.95621,1318.986875373,0,0,0
138.63238,9.83363,832.85508,1363.2595309394,0,0,0
139.00844,9.83497,832.92513,1367.1438371468,0,0,0
137.28201,9.83401,833.01369,1350.0326591601,0,0,0
139.44185,9.83026,833.11631,1370.749640381,0,0,0
138.9307,9.73785,832.46185,1352.886316995,0,0,0
137.75904,9.77597,832.5898,1346.7282422688,0,0,0
140.5341,9.7249,832.74352,1366.68006909,0,0,0
139.3923,9.7251,832.33495,1355.60405673,0,0,0
136.55782,9.76958,832.59534,1334.1125471156,0,0,0
138.97256,9.76843,832.30089,1357.5437242808,0,0,0
138.4355,9.72592,832.59534,1346.41259816,0,0,0
142.73124,9.74248,832.5798,1390.5562510752,0,0,0
138.06404,9.75405,832.50421,1346.683549362,0,0,0
139.0834,9.77873,832.45588,1360.059016082,0,0,0
140.1059,9.74847,832.96302,1365.818162973,0,0,0
138.65865,9.7387,833.29707,1350.354994755,0,0,0
140.2496,9.74453,832.9313,1366.666434688,0,0,0
138.96846,9.76951,833.27237,1357.6537596546,0,0,0
135.86502,9.73637,833.07714,1322.8321047774,0,0,0
140.95915,9.7486,833.25875,1374.15436969,0,0,0
137.76066,9.78312,832.96835,1347.7290680592,0,0,0
139.37145,9.7489,833.08757,1358.718328905,0,0,0
138.99994,9.73561,832.89447,1353.2492058634,0,0,0
138.38463,9.76655,833.01476,1351.5404081265,0,0,0
135.48967,9.76307,832.92278,1322.7951324869,0,0,0
139.78871,9.74573,832.86147,1362.3430247083,0,0,0
137.95816,9.76054,832.93705,1346.5461390064,0,0,0
138.79997,9.74343,832.83911,1352.3877916971,0,0,0
139.0505,9.76705,833.02328,1358.113186025,0,0,0
141.58519,9.77992,833.18444,1384.6918313848,0,0,0
138.51071,9.74749,833.29579,1350.1317606179,0,0,0
138.86379,9.76448,832.97026,1355.9327001792,0,0,0
137.90739,9.78656,833.04073,1349.6389466784,0,0,0
141.33638,9.76423,832.85742,1380.0409216874,0,0,0
138.79911,9.72483,833.07969,1349.7977489013,0,0,0
141.77408,9.75506,833.19275,1383.0146568448,0,0,0
140.16269,9.7309,833.01668,1363.909120121,0,0,0
137.44802,9.74543,833.18253,1339.4900575486,0,0,0
137.79356,9.77203,833.09524,1346.5228021268,0,0,0
139.25822,9.75873,833.03903,1358.9833692606,0,0,0
138.09132,9.76685,833.15421,1348.717208742,0,0,0
140.00468,9.76256,833.00049,1366.8040887808,0,0,0
137.96003,9.74646,833.1012,1344.6219139938,0,0,0
137.29891,9.75005,833.06735,1338.6712374455,0,0,0
140.76849,9.70388,832.76715,1366.0005347412,0,0,0
141.60028,9.71918,832.48739,1376.2386093704,0,0,0
138.81211,9.76419,832.27683,1355.3878163409,0,0,0
136.07001,9.79017,832.84358,1332.1485298017,0,0,0
139.66668,9.72458,832.44779,1358.1998029944,0,0,0
140.55875,9.73009,832.77013,1367.6492877875,0,0,0
138.26341,9.76137,832.76417,1349.6403024717,0,0,0
136.12072,9.77799,832.64154,1330.9870389528,0,0,0
138.55464,9.73127,832.75714,1348.3126115928,0,0,0
138.55869,9.72838,832.68369,1347.9515886222,0,0,0
138.33305,9.77295,833.72607,1351.9219809975,0,0,0
139.12501,9.71204,833.18998,1351.1876621204,0,0,0
137.55603,9.73553,833.20552,1339.1808567459,0,0,0
138.99169,9.77473,833.58194,1358.6062419937,0,0,0
139.05906,9.77722,833.19509,1359.6110226132,0,0,0
140.58177,9.7482,833.28855,1370.419210314,0,0,0
137.31486,9.74991,833.34923,1338.8075266626,0,0,0
135.39907,9.75009,833.31559,1320.1531184163,0,0,0
139.29968,9.75497,833.5566,1358.8641994096,0,0,0
138.10615,9.74895,833.28515,1346.3899510425,0,0,0
136.44248,9.75819,832.71989,1331.4316439112,0,0,0
136.94588,9.79409,832.86615,1341.2602738492,0,0,0
138.72754,9.75958,832.7878,1353.9225248332,0,0,0
140.06582,9.72954,832.7086,1362.7759983228,0,0,0
139.81437,9.73914,832.61173,1361.6717234418,0,0,0
136.88302,9.7778,832.66432,1338.414792956,0,0,0
138.96831,9.75867,832.84422,1356.1458777477,0,0,0
139.06928,9.75876,832.79504,1357.1437268928,0,0,0
138.76337,9.75689,833.02562,1353.8989371193,0,0,0
136.97215,9.76492,832.82953,1337.522086978,0,0,0
135.57146,9.75236,832.7316,1322.1416836456,0,0,0
136.45979,9.74809,832.69689,1330.2223143011,0,0,0
138.66837,9.78009,832.67901,1356.1891387533,0,0,0
133.24829,9.75392,832.51763,1299.6931607968,0,0,0
138.08429,9.75787,832.67177,1347.4085508623,0,0,0
138.77491,9.79751,832.69029,1359.6485684741,0,0,0
137.98488,9.78085,832.72287,1349.609413548,0,0,0
